OBJECTID,ROUTE_ID,BEGIN_POINT,END_POINT,ROUTE_DIR,ROUTE_PREFIX,ROUTE_NUMBER,ROUTE_SUFFIX,RAMP_NUMBER,RAMP_SUFFIX,ROAD_TYPE,TOWN_NUMBER,TOWN_NAME,PRI_SEC_STATUS,YEAR,GlobalID,Shape__Length
43116,374N-N,0,0.09,L,SI,374,N,,,M,130,SOUTHBURY,PRI,2022,a5daedeb-973c-4ecb-bd1c-322e11005b55,499.9372274
43117,384-E-10,0,0.24,L,I,384,,10,,ER,76,MANCHESTER,PRI,2022,dba59b0b-d711-4ae6-a00e-767f47d3fc1a,1308.599624
43118,384-W-11,0,0.2,L,I,384,,11,,XR,76,MANCHESTER,PRI,2022,4a04041b-6d0c-47f0-bcb7-8a11d9f85497,1127.872562
43119,384-W-4,0,0.28,L,I,384,,4,,ER,76,MANCHESTER,PRI,2022,054acd87-56d6-4b8c-9cb2-ca8d65ec9aca,1417.741369
43120,395-S-16,0,0.17,L,I,395,,16,,ER,103,NORWICH,PRI,2022,deb36ccb-9723-472b-ad63-759464e6cd9b,992.5354342
43121,395-S-32,0,0.23,L,I,395,,32,,XR,57,GRISWOLD,PRI,2022,cbbfbee9-3747-4111-bd5b-e1889527df38,1241.769842
43122,395-S-51,0,0.24,L,I,395,,51,,XR,68,KILLINGLY,PRI,2022,904f53c8-72ca-4476-b035-7b5360f0e83c,1314.353919
43123,395-S-71,0,0.35,L,I,395,,71,,XR,115,PUTNAM,PRI,2022,b687d957-e8e3-45d3-806c-4b94a4f0268f,1852.683141
43124,395-S-76,0,0.12,L,I,395,,76,,XR,141,THOMPSON,PRI,2022,b7b03a13-6a21-4522-871d-64231ed27f3d,630.464978
43125,395-S-805,0,0.26,L,I,395,,805,,TR,68,KILLINGLY,PRI,2022,ead240ab-53a4-445b-b478-daafb37fb1fe,1304.827851
43126,4-E,0,7.64,L,CT,4,,,,M,125,SHARON,PRI,2022,2f1c37cf-48e5-45ce-9823-a32e2c132243,40314.68692
43127,4-E,45.84,46.72,L,CT,4,,,,M,155,WEST HARTFORD,PRI,2022,d8fbd232-8b03-45da-a92c-679dfc035bee,4628.821637
43128,4-W,44.02,44.16,R,CT,4,,,,M,51,FARMINGTON,PRI,2022,03fa14c1-e498-4fbc-99af-54fb1b28ca3e,699.8851895
43129,41M-E,0,0.67,L,SF,41,M,,,M,24,CHAPLIN,PRI,2022,eff339f8-e94a-4cf6-babb-181bc4c169a2,3521.609359
43130,44-E,67.93,73.35,L,US,44,,,,M,32,COVENTRY,PRI,2022,c79e1663-72e0-4968-bb41-dc5aee74164b,28658.66814
